Property Title,Location,Price,Description,Beds,Baths,Toilets,Agent Phone
4 BEDROOM HOUSE FOR RENT,,"₦ 6,000,000/year",FOR RENT: Features: 2 living room Guest All room en-suite Fitted kitchen Tired acces..  Read more,4 beds,4 baths,5 Toilets,08036492297
4 BEDROOM HOUSE FOR RENT,,"₦ 7,500,000/year",FOR RENT: Feature:spacious living room Spacious room Balcony Family lounge Fitted ward..  Read more,4 beds,4 baths,5 Toilets,08036492297
4 BEDROOM HOUSE FOR RENT,,"₦ 10,000,000/year",FOR RENT: Features: very Spacious living room Ante room Ample parking space Standby ge..  Read more,4 beds,4 baths,5 Toilets,08036492297
4 BEDROOM HOUSE FOR RENT,,"₦ 9,000,000/year",FOR RENT: Features:big living room Dining area Fully fitted kitchen with pantry All ro..  Read more,4 beds,4 baths,5 Toilets,08036492297
3 BEDROOM HOUSE FOR RENT,,"₦ 7,000,000/year",FOR RENT: Features:very spacious parlour Dinning area Pop finishing Fitted wardrobe Al..  Read more,3 beds,3 baths,4 Toilets,08036492297
4 BEDROOM HOUSE FOR RENT,,"₦ 9,000,000/year",FOR RENT: Features:very spacious living room Spacious Dining Fitted kitchen Bq Balcon..  Read more,4 beds,4 baths,5 Toilets,08036492297
HOUSE FOR RENT,,"₦ 10,000,000/year",FOR RENT: Cooperate lease at jahi Gilmore. 5units of newly built 4 bedroom terrace dupl..  Read more,0 beds,0 baths,0 Toilets,08053979149
4 BEDROOM HOUSE FOR RENT,,"₦ 12,000,000/year",FOR RENT: This is a 4 Bedroom Terrace Duplex with bq located in a serene neighborhood at j..  Read more,4 beds,4 baths,4 Toilets,08036129334
3 BEDROOM HOUSE FOR RENT,,"₦ 3,500,000/year",FOR RENT: Newly built and tastefull and luxuries serviced 3 bedroom...it comes with standb..  Read more,3 beds,3 baths,4 Toilets,08036492297
,Old Ikoyi Ikoyi Lagos,,FOR RENT: DIRECT CASH-READY CLIENTS ONLY BEAUTIFUL FAMILY-FRIENDLY ENVIRONMENT! STRA.. Read more,4 beds,4 baths,5 Toilets,08124269637
4 BEDROOM HOUSE FOR RENT,,"₦ 7,000,000/year",FOR RENT: A well finished spacious 4 Bedroom terrace Duplex with 1room BQ in jahi district..  Read more,4 beds,4 baths,5 Toilets,08106600637
4 BEDROOM HOUSE FOR RENT,,"₦ 12,000,000/year",FOR RENT: A well-finished spacious 4 Bedroom terrace duplex with 1room BQ attached in jahi..  Read more,4 beds,4 baths,5 Toilets,08106600637
4 BEDROOM HOUSE FOR RENT,,"₦ 11,000,000/year",FOR RENT: A well finished spacious 4 Bedroom detached terrace Duplex with 1room BQ with it..  Read more,4 beds,4 baths,5 Toilets,08106600637
4 BEDROOM HOUSE FOR RENT,,"₦ 9,000,000/year","FOR RENT: A well finished, spacious serviced 4bedroom terrace with 1room BQ in jahi distri..  Read more",4 beds,4 baths,5 Toilets,08106600637
4 BEDROOM HOUSE FOR RENT,,"₦ 7,000,000/year",FOR RENT: A well finished spacious 4 bedroom terrace with 1room BQ in jahi district Abuja...  Read more,4 beds,4 baths,5 Toilets,08106600637
3 BEDROOM FLAT / APARTMENT FOR RENT,,"₦ 6,000,000/year",FOR RENT: A well finished new spacious 3 bedroom flat in jahi district Abuja. The apart..  Read more,3 beds,3 baths,4 Toilets,08106600637
HOUSE FOR RENT,,"₦ 32,000,000/year",FOR RENT: Corporate letting 8 units of 2 bedroom flats Jahi Serviced apartments 4m..  Read more,0 beds,0 baths,3 Toilets,08053979149
3 BEDROOM FLAT / APARTMENT FOR RENT,,"₦ 4,000,000/year",FOR RENT: Newly built 3 bedroom All rooms en-suite Ample parking space In a secure se..  Read more,3 beds,4 baths,4 Toilets,07061663914
4 BEDROOM HOUSE FOR RENT,,"₦ 9,000,000/year",FOR RENT: To LET: 4 bedroom terrace duplex Newly built and tastefully finished 4 bedro..  Read more,4 beds,5 baths,5 Toilets,07061663914
2 BEDROOM FLAT / APARTMENT FOR RENT,,"₦ 3,200,000/year",FOR RENT: *NEW LISTING TO LET* Luxury 2 bedroom Flat FEATURES: - En-suite Rooms -..  Read more,2 beds,3 baths,3 Toilets,07061663914
2 BEDROOM FLAT / APARTMENT FOR RENT,,"₦ 4,500,000/year",FOR RENT: Standard neat service 2 bedroom All rooms are en-suite with amazing perfect fi..  Read more,2 beds,3 baths,3 Toilets,07061663914
3 BEDROOM HOUSE FOR RENT,,"₦ 5,500,000/year",FOR RENT: Standard spacious 3 bedroom terrace All rooms en-suite amazing perfect finish ..  Read more,3 beds,4 baths,4 Toilets,07061663914
4 BEDROOM HOUSE FOR RENT,,"₦ 8,000,000/year","FOR RENT: Properties For Sale and Rent in Abuja 1. 4 bedroom terrace duplex at jahi, Ren..  Read more",4 beds,5 baths,5 Toilets,07061663914
3 BEDROOM HOUSE FOR RENT,,"₦ 5,500,000/year",FOR RENT: Three bedroom block of flat at Jahi by Gilmor tarred road. with furnitures 8m ..  Read more,3 beds,3 baths,4 Toilets,08053757706
4 BEDROOM HOUSE FOR RENT,,"₦ 6,000,000/year",FOR RENT: Newly Built Standard 4 Bedroom terrace Duplex with Bq at Jahi close Aduve Intern..  Read more,4 beds,4 baths,5 Toilets,07033155232
FLAT / APARTMENT FOR RENT,,"₦ 1,000,000/year","FOR RENT: Self contain available at Jahi also , Kitchen cabinets, Wardrobes, Prepaid me..  Read more",0 beds,1 baths,1 Toilets,07061663914
2 BEDROOM HOUSE FOR RENT,,"₦ 3,000,000/year",FOR RENT: *MIK COBALT CONSULT* TO LET Brand new 2 bedroom flat @ jahi gilmor RENT:..  Read more,2 beds,2 baths,3 Toilets,08053757706
4 BEDROOM HOUSE FOR RENT,,"₦ 8,000,000/year",FOR RENT: Spacious 4 bedroom Terrace duplex with BQ in Jahi on tarred road . Rent:8 milli..  Read more,4 beds,5 baths,5 Toilets,08067992859
2 BEDROOM HOUSE FOR RENT,,"₦ 3,500,000/year","FOR RENT: PROPERTY ADVERT HUB Brand new two bedroom flat 5 units in the compound, (..  Read more",2 beds,3 baths,3 Toilets,07081992505
3 BEDROOM FLAT / APARTMENT FOR RENT,,"₦ 8,000,000","FOR RENT: fully furnished En-suite & rooms, Guest toilet, Fitted kitchen & bathrooms, stor..  Read more",3 beds,3 baths,4 Toilets,08160561411
4 BEDROOM HOUSE FOR RENT,,"₦ 7,500,000/year","FOR RENT: features En-suite & rooms, Guest toilet, Fitted kitchen & bathrooms, store, Am..  Read more",4 beds,4 baths,5 Toilets,08160561411
2 BEDROOM FLAT / APARTMENT FOR RENT,,"₦ 4,000,000/year","FOR RENT: It newly built, spacious and nice environment just pay and pack in ..  Read more",2 beds,2 baths,3 Toilets,08160561411
4 BEDROOM HOUSE FOR RENT,,"₦ 8,000,000/year","FOR RENT: Exquisitely finished 4 bedroom terrace Duplex with BQ, beautiful interior and ex..  Read more",4 beds,4 baths,5 Toilets,08160561411
4 BEDROOM FLAT / APARTMENT FOR RENT,,"₦ 7,500,000/year",FOR RENT: as seen in the photos pay and pack in..  Read more,4 beds,4 baths,5 Toilets,08160561411
4 BEDROOM HOUSE FOR RENT,,"₦ 7,000,000/year",FOR RENT: Newly built 4 bedroom terrace duplex with a room bq beautiful interior and exter..  Read more,4 beds,4 baths,0 Toilets,08147562407
4 BEDROOM HOUSE FOR RENT,,"₦ 7,000,000/year","FOR RENT: Newly built 4bedroom terrace duplex with a bq, kitchen cabinet,well built sittin..  Read more",4 beds,4 baths,Toilets,08147562407
4 BEDROOM HOUSE FOR RENT,,"₦ 10,000,000/year","FOR RENT: Magnificent 4 bedroom terrace duplex with a bq,fitted kitchen cabinet, luxury ba..  Read more",4 beds,4 baths,0 Toilets,08147562407
2 BEDROOM FLAT / APARTMENT FOR RENT,,"₦ 3,200,000/year","FOR RENT: Newly built 2 bedroom flat, beautiful interior and exterior finishing, fitted ki..  Read more",2 beds,2 baths,0 Toilets,08147562407
2 BEDROOM FLAT / APARTMENT FOR RENT,,"₦ 3,000,000/year","FOR RENT: Newly built 2 bedroom flat,pop fittings,good interior and exterior finishing, ki..  Read more",2 beds,2 baths,0 Toilets,08147562407
1 BEDROOM FLAT / APARTMENT FOR RENT,,"₦ 2,000,000/year","FOR RENT: 1 bedroom flat,pop, kitchen,well built bathroom, balcony,car park, security post..  Read more",1 beds,1 baths,0 Toilets,08147562407
4 BEDROOM FLAT / APARTMENT FOR RENT,,"₦ 10,000,000/year","FOR RENT: Fully Furnished 4-Bedroom Apartment For Rent. Location: Gilmor, Jahi District, ..  Read more",4 beds,0 baths,0 Toilets,08099444251
4 BEDROOM HOUSE FOR RENT,,"₦ 10,000,000/year",FOR RENT: Here is a lovely finished terrace duplex in a serene location in jahi It's a ..  Read more,4 beds,5 baths,5 Toilets,09060381589
FLAT / APARTMENT FOR RENT,,"₦ 1,300,000/year",FOR RENT: This is a serviced sefcon in jahi Comes with Ac Central generator Rent..  Read more,0 beds,1 baths,1 Toilets,09060381589
5 BEDROOM HOUSE FOR RENT,,"₦ 15,000,000/year",FOR RENT: ADVERT IS FOR DIRECT CLIENT Tastefully finished 5-bedroom detached duplex with..  Read more,5 beds,5 baths,6 Toilets,08033217920
4 BEDROOM HOUSE FOR RENT,,"₦ 7,000,000/year",FOR RENT: ADVERT IS FOR DIRECT CLIENT Tastefully finished 4-bedroom terraced duplex with..  Read more,4 beds,4 baths,5 Toilets,08033217920
4 BEDROOM HOUSE FOR RENT,,"₦ 11,000,000/year",FOR RENT: ADVERT IS FOR DIRECT CLIENT Tastefully finished 4-bedroom terraced duplex with..  Read more,4 beds,4 baths,5 Toilets,08033217920
4 BEDROOM HOUSE FOR RENT,,"₦ 11,000,000/year","FOR RENT: 4 bedrooms terrace duplex for rent, in a nice environment, uniform security, t..  Read more",4 beds,0 baths,0 Toilets,07056144444
3 BEDROOM FLAT / APARTMENT FOR RENT,,"₦ 8,000,000/year",FOR RENT: Beautifully furnished 6 units of 3 bedroom block of flat in Jahi going for 8M. I..  Read more,3 beds,0 baths,0 Toilets,07056144444
4 BEDROOM HOUSE FOR RENT,,"₦ 7,500,000","FOR RENT: 4 bedrooms terrace duplex for rent, in a serene environment, good security, sp..  Read more",4 beds,baths,Toilets,07056144444
HOUSE FOR RENT,,"₦ 5,000,000/year","FOR RENT: Five bedroom terrace duplex at jahi by peace apartments Rent: 5,000,000 Servic..  Read more",0 beds,0 baths,0 Toilets,07056144444
4 BEDROOM FLAT / APARTMENT FOR RENT,,"₦ 10,000,000/year","FOR RENT: A well finished brand new spacious, furnishe serviced 4bedroom flat in jahi dist..  Read more",4 beds,4 baths,5 Toilets,08106600637
